frame,clipTime,clipDuration,elapsedTime,jfaMs,unifiedMs,selectedCameras
202,0.59526,2,6.59526,11.0097,1.18374,0
203,0.627377,2,6.62738,9.91456,1.33098,0
204,0.659784,2,6.65978,9.70966,1.15066,0
205,0.691312,2,6.69131,10.9998,1.11232,0
206,0.724648,2,6.72465,10.1505,1.17562,0
207,0.75697,2,6.75697,11.4745,1.21638,0
208,0.790143,2,6.79014,10.4752,1.31187,0
209,0.823387,2,6.82339,9.98867,1.15309,0
210,0.856508,2,6.85651,11.3221,1.11859,0
211,0.888844,2,6.88884,10.9291,1.14483,0
212,0.922411,2,6.92241,10.2651,1.20662,0
213,0.954051,2,6.95405,11.3169,1.21856,0
214,0.987361,2,6.98736,10.7974,1.12992,0
215,1.02036,2,7.02036,10.3201,1.15494,0
216,1.05341,2,7.05341,11.1352,1.37498,0
217,1.41505,2,7.41505,9.53354,1.11891,0
218,1.84627,2,7.84627,9.61843,1.18,0
219,1.86135,2,7.86135,11.9781,1.13869,0
220,1.88862,2,7.88862,11.8989,1.13795,0
221,1.9201,2,7.9201,10.7213,1.22131,0
222,1.9527,2,7.9527,11.1272,1.23392,0
223,1.98578,2,7.98578,10.4949,1.21856,0
224,0.0170298,2,8.01703,10.2795,1.15507,0
225,0.0490618,2,8.04906,11.1336,1.18579,0
226,0.0823975,2,8.0824,10.3327,1.24931,0
227,0.114809,2,8.11481,11.4469,1.35517,0
228,0.148125,2,8.14812,10.6208,1.1305,0
229,0.181211,2,8.18121,9.98922,1.18211,0
230,0.214408,2,8.21441,10.9053,1.14278,0
231,0.246522,2,8.24652,10.4384,1.23117,0
232,0.27984,2,8.27984,10.1979,1.37421,0
233,0.311801,2,8.3118,10.5271,1.2288,0
234,0.342141,2,8.34214,10.1148,1.13472,0
235,0.373318,2,8.37332,9.66445,1.16477,0
236,0.403159,2,8.40316,10.4696,1.13869,0
237,0.432794,2,8.43279,9.72522,1.32419,0
238,0.464755,2,8.46476,9.87498,1.13459,0
239,0.497742,2,8.49774,10.0039,1.15629,0
240,0.531048,2,8.53105,9.66006,1.21411,0
241,0.56332,2,8.56332,10.1122,1.28653,0
242,0.596727,2,8.59673,9.55197,1.16122,0
243,0.629797,2,8.6298,10.5891,1.13222,0
244,0.663103,2,8.6631,10.7772,1.11616,0
245,0.696246,2,8.69625,10.1386,1.23078,0
246,0.729567,2,8.72957,10.6859,1.22022,0
247,0.762686,2,8.76269,10.1011,1.14893,0
248,0.79599,2,8.79599,9.93837,1.1305,0
249,0.829007,2,8.82901,12.1457,1.13459,0
250,0.862322,2,8.86232,10.208,1.16941,0
251,0.893856,2,8.89386,10.0926,1.18029,0
252,0.924867,2,8.92487,11.5783,1.2247,0
253,0.956738,2,8.95674,10.6559,1.37597,0
254,0.988742,2,8.98874,12.8188,1.16963,0
255,1.01844,2,9.01844,12.9894,1.15098,0
256,1.05085,2,9.05085,13.3247,1.14973,0
257,1.08248,2,9.08248,11.7283,1.16941,0
258,1.11447,2,9.11447,12.6311,1.35603,0
